"Fecha-Hora  (UTC)","Lat(°)","Long(°)","Prof(Km)","Mag.","Tipo Mag.","Fases","Rms(Seg)","Gap(°)","Error Lat(Km)","Error Long(Km)","Error Prof(Km)","Region","QuakeML","Fases","Mapa","Estado"
"2025-07-22 02:55:42","6.795","-73.138","142.3","2.6","MLr_3","40","1.1","75","2.895","3.931","5.58","Los Santos - Santander, Colombia","","","","manual"
"2025-07-22 10:08:47","6.795","-73.112","146.76","2.7","MLr_3","50","1.1","66","2.452","3.441","5.16","Los Santos - Santander, Colombia","","","","manual"
"2025-07-22 15:25:28","6.801","-73.16","145.59","2.6","MLr_3","43","1.2","65","2.689","4.470","5.18","Los Santos - Santander, Colombia","","","","manual"
"2025-07-22 16:18:38","6.817","-73.159","148.52","2.5","MLr_3","33","1.2","110","3.206","4.928","6.08","Los Santos - Santander, Colombia","","","","manual"
"2025-07-23 03:57:10","6.765","-73.162","140.43","3.8","MLr_3","91","1.3","63","2.043","2.762","4.18","Los Santos - Santander, Colombia","","","","manual"
"2025-07-23 08:42:48","6.782","-73.127","142.07","2.7","MLr_3","51","1.2","67","2.601","3.436","5.19","Los Santos - Santander, Colombia","","","","manual"
"2025-07-23 18:48:41","6.803","-73.136","145.12","2.6","MLr_3","40","1.1","66","2.613","4.010","5.48","Los Santos - Santander, Colombia","","","","manual"
"2025-07-24 05:53:54","6.799","-73.119","148.16","2.5","MLr_3","46","1.1","66","2.559","3.578","5.02","Los Santos - Santander, Colombia","","","","manual"
"2025-07-24 19:40:22","6.81","-73.164","138.79","2.5","MLr_3","30","1.2","110","3.565","4.716","5.74","Los Santos - Santander, Colombia","","","","manual"
"2025-07-24 21:26:35","6.797","-73.164","136.91","2.6","MLr_3","36","1.1","65","2.830","3.781","5.50","Los Santos - Santander, Colombia","","","","manual"
"2025-07-24 22:33:29","6.801","-73.162","147.7","3.4","MLr_3","63","1.2","63","2.279","3.481","4.73","Los Santos - Santander, Colombia","","","","manual"
"2025-07-25 02:24:06","6.797","-73.119","142.54","2.5","MLr_3","40","1.1","67","2.814","3.758","5.48","Los Santos - Santander, Colombia","","","","manual"
"2025-07-25 04:08:22","6.782","-73.138","142.77","3.1","MLr_3","65","1.2","65","2.171","3.113","4.49","Los Santos - Santander, Colombia","","","","manual"
"2025-07-25 09:50:09","6.788","-73.16","147.23","3.3","MLr_3","68","1.1","63","2.046","2.965","4.45","Los Santos - Santander, Colombia","","","","manual"
"2025-07-25 21:43:40","6.779","-73.188","141.48","2.7","MLr_3","44","1.3","62","2.903","3.995","5.27","Los Santos - Santander, Colombia","","","","manual"
